FID,X,Y,Org_Name,Address,Street,Muni,State,Zip_Code,x,y
9,562811.88325,704162.527726,"Arts Unbound, Inc","542/544 Freeman Street, Orange, New Jersey 07050",542/544 Freeman Street,Orange,New Jersey,7050,-8264893,4977934
15,584830.768624,692584.085213,Barat Foundation One Gallery,"11-43 Raymond Plaza West, One Gateway Center , Newark, New Jersey 07102","11-43 Raymond Plaza West, One Gateway Center",Newark,New Jersey,7102,-8256061,4973234
17,618463.81107,744631.577058,Bergen County Division of Cult & Hist Af,"One Bergen County Plaza 4th Flr, Hackensack, New Jersey 07601",One Bergen County Plaza 4th Flr,Hackensack,New Jersey,7601,-8242442,4994183
18,637314.09519,751437.930487,Bergen Performing Arts Center Inc,"30 North Van Brunt Street, Englewood, New Jersey 07631",30 North Van Brunt Street,Englewood,New Jersey,7631,-8234837,4996891
23,400322.458843,734433.569066,Centenary Performing Arts Guild  Centenary College,"400 Jefferson Street, Hackettstown, New Jersey 07840",400 Jefferson Street,Hackettstown,New Jersey,7840,-8330244,4990126
25,618585.667063,752010.317938,Center for Modern Dance Education,"84 Euclid Avenue, Hackensack, New Jersey 07601",84 Euclid Avenue,Hackensack,New Jersey,7601,-8242377,4997165
29,534165.543062,684246.096188,Dreamcatcher Repertory Theatre   Oakes Center,"120 Morris Avenue, Summit, New Jersey 07901",120 Morris Avenue,Summit,New Jersey,7901,-8276420,4969928
31,567995.383295,726866.232255,Essex County Division of Culural & Historic Affairs Kip's Castle Park,"22 Crestmont Road, Verona, New Jersey 07044",22 Crestmont Road,Verona,New Jersey,7044,-8262781,4987092
32,573191.86464,722229.456444,Freespace Dance,"127 Grove Street, Montclair, New Jersey 07042",127 Grove Street,Montclair,New Jersey,7042,-8260697,4985212
34,580722.691231,694177.2351,Gallery Aferro,"73 Market St, Newark, New Jersey 07102",73 Market St,Newark,New Jersey,7102,-8257709,4973882
37,583148.129752,695065.875068,"GlassRoots, Inc.","10 Bleeker Street, Newark, New Jersey",10 Bleeker Street,Newark,New Jersey,0,-8256733,4974237
40,435663.059035,753025.047966,Growing Stage  The Children's Theatre of NJ,"7 Ledgewood Avenue, Rte 183 , Netcong, New Jersey 07857","7 Ledgewood Avenue, Rte 183",Netcong,New Jersey,7857,-8316040,4997682
41,614774.625876,692048.273952,Hudson County Office of Cultural Affairs & Tourism,"583 Newark Avenue, Jersey City, New Jersey 07306",583 Newark Avenue,Jersey City,New Jersey,7306,-8244034,4972964
42,377813.593548,657028.191483,Hunterdon Art Museum,"7 Lower Center St., Clinton, New Jersey 08809",7 Lower Center St.,Clinton,New Jersey,8809,-8339156,4958869
44,570535.521688,673274.801845,Institute of Music for Children,"780 Salem Avenue, Elizabeth, New Jersey 07208",780 Salem Avenue,Elizabeth,New Jersey,7208,-8261829,4965470
46,548635.941474,704863.892404,J.C.C. Metrowest,"760 Northfield Ave, West Orange, New Jersey 07052",760 Northfield Ave,West Orange,New Jersey,7052,-8270589,4978232
47,571021.953469,720855.468064,"Jazz House Kids, Inc.","347 Bloomfield Avenue, Lower Level, Montclair, New Jersey 07042","347 Bloomfield Avenue, Lower Level",Montclair,New Jersey,7042,-8261571,4984661
48,645295.041421,757426.512372,JCC on the Palisades-Thurnauer School of Music,"411 East Clinton Avenue, Tenafly, New Jersey 07670",411 East Clinton Avenue,Tenafly,New Jersey,7670,-8231608,4999292
49,566143.072372,672937.632956,Kean University/Premiere Stages,"1000 Morris Avenue , Union, New Jersey 07083",1000 Morris Avenue,Union,New Jersey,7083,-8263592,4965340
52,562419.88307,705193.5058,"Luna Stage Company, Inc.","555 Valley Road, West Orange, New Jersey 07052",555 Valley Road,West Orange,New Jersey,7052,-8265049,4978350
