Name,Website,City,County,Address,Type,x,y
Becton Theatre at Fairleigh Dickinson University,https://www.fdu.edu/academics/colleges-schools/becton/,Teaneck,Bergen,"960 River Rd. Teaneck, NJ 07666",Theater,621993.6069412403,751142.2374471799
Belleville Municipal Stadium,https://en.wikipedia.org/wiki/Belleville_Municipal_Stadium,Belleville,Essex,100 Passaic Avenue Belleville NJ 07109,Stadium,585550.3765913539,717832.1516105168
Bergen Performing Arts Center,https://www.bergenpac.org/,Englewood,Bergen,"30 N Van Brunt St, Englewood, NJ 07631",Theater,637227.7778148538,751501.0202984699
Bickford Theatre at the Morris Museum,https://morrismuseum.org/bickford-theatre/,Morris Twp.,Morris,"6 Normandy Heights Rd. Morris Township, NJ 07920",Theater,506277.51941835374,715217.1215659921
Black River Playhouse,https://www.chestertheatregroup.org/,Chester,Morris,"54 Grove St, Chester, NJ 07930",Theater,438516.6779888841,710711.4947245015
Centenary Stage Company,https://www.centenarystageco.org/contact-us,Hackettstown,Warren,"400 Jefferson Street Hackettstown, NJ 07840",Theater,400045.40849950246,734397.9315146459
Cochrane Stadium,https://www.jerseycitysoccerassociation.com/,Jersey City,Hudson,"1 Chapel Ave, Jersey City, NJ 07305",Stadium,608575.1150995559,677252.1193997114
Darress Theatre,https://www.loopnet.com/Listing/615-Main-St-Boonton-NJ/14950903/,Boonton,Morris,"615 Main St. Boonton, NJ 07005",Theater,516839.27505638375,754672.0331354741
Dover Little Theater,https://www.doverlittletheatre.org/,Dover,Morris,"69 Elliott St, Dover, NJ 07801",Theater,474039.1086010738,746852.890559798
Hinchliffe Stadium,https://en.wikipedia.org/wiki/Hinchliffe_Stadium,Paterson,Passaic,"Liberty & Maple Streets, Paterson, NJ 07505",Stadium,579835.2548858196,759694.0488264465
Ice Vault Arena,https://www.icevault.com/index.php,Wayne,Passaic,"10 Nevins Road Wayne, NJ 07470",Arena,567225.8197130943,776373.5650691568
Jersey City Armory,https://en.wikipedia.org/wiki/Jersey_City_Armory,Jersey City,Hudson,"678 Montgomery Street Jersey City, NJ 07306",Arena,612571.2666877784,689235.6809756684
Hunterdon Hills Playhouse,https://www.hhplayhouse.com/,Union Twp.,Hunterdon,"88 Rt. 173 West Hampton, NJ 08827",Theater,359814.22672409116,658293.4536878683
Kean Stage at Kean University,https://keanstage.com/,Union Twp.,Union,"1000 Morris Ave. Union, NJ 07083",Theater,565914.7525988081,672806.924655801
Luna Stage,https://www.lunastage.org/,West Orange,Essex,"555 Valley Road, West Orange, NJ 07052",Theater,562476.1405057103,705207.9172802977
Mayo Center for the Performing Arts,https://www.mayoarts.org/,Morristown,Morris,"100 South St. Morristown, NJ 07960",Theater,498218.47812280623,714269.4961352574
MSU Soccer Park at Pittser Field,https://montclairathletics.com/facilities/msu-soccer-park/3,Montclair,Essex,"1 Normal Avenue Montclair, NJ 07043",Stadium,574007.9868461075,737678.7106930646
MetLife Stadium,https://www.metlifestadium.com/,East Rutherford,Bergen,"1 MetLife Stadium Drive East Rutherford, NJ 07073",Stadium,609942.52702776,721548.2530782442
Mennen Arena,https://www.morrisparks.net/facilities-rentals-permits/find-a-facility-rental/,Morristown,Morris,"161 East Hanover Ave Morristown, NJ 07960",Arena,498824.3023294436,722112.3176610951
New Jersey Performing Arts Center,https://www.njpac.org/,Newark,Essex,"1 Center St, Newark, NJ 07102",Theater,584184.3364247236,694541.3299091951
Newark Symphony Hall,https://newarksymphonyhall.org/,Newark,Essex,"1020 Broad St, Newark, NJ 07102",Theater,581852.5978755088,690273.5501124525
Owen T. Carroll Field,https://en.wikipedia.org/wiki/Owen_T._Carroll_Field,South Orange,Essex,"400 S. Orange Avenue South Orange, NJ 07079",Stadium,562244.4054698988,694871.4613376855
Paper Mill Playhouse,https://papermill.org/,Millburn Twp.,Essex,"22 Brookside Dr, Millburn, NJ 07041",Theater,545106.2812329311,690133.0243345682
Park Performing Arts Center,https://en.wikipedia.org/wiki/Park_Performing_Arts_Center,Union City,Hudson,"560 32nd St, Union City, NJ 07087",Theater,622195.6789973922,707252.9437490144
Pax Amicus Castle Theatre,http://www.paxamicus.com/,Mount Olive Twp.,Morris,"23 Lake Shore Drive Budd Lake, NJ 07828",Theater,422336.21473112184,740510.5139961357
Alexander Kasser Theater,https://www.peakperfs.org/,Montclair,Essex,"1 Normal Avenue Montclair, NJ 07043",Theater,574007.9868461075,737678.7106930646
Playwrights Theatre of New Jersey,,Madison,Morris,28 Walnut St Madison NJ 07940,Theater,515926.3230328276,702663.987534989
Prudential Center,https://prucenter.com/,Newark,Essex,"25 Lafayette St, Newark, NJ 07102",Arena,563618.5818116964,705859.1391258268
Sports Illustrated Stadium,https://en.wikipedia.org/wiki/Sports_Illustrated_Stadium,Harrison,Hudson,"600 Cape May Street Harrison, NJ",Stadium,589211.4580956912,693528.0594197094
Bogota Savings Bank Center,https://fduknights.com/facilities/rothman-center/1,Hackensack,Bergen,"100 University Plaza Dr, Hackensack, NJ 07601",Arena,621396.5838425009,751896.5215210877
Essex County Codey Arena,https://essexcountyparks.org/south-mountain/codey-arena,West Orange,Essex,"560 Northfield Ave, West Orange, NJ 07052",Arena,552843.3641840871,705398.8493240683
Shakespeare Theatre of New Jersey,https://www.shakespearenj.org/,Madison,Morris,"36 Madison Ave. Madison, NJ 07940",Theater,513889.8439711421,702370.2760297576
Skylands Stadium,https://skylandsstadium.com/,Frankford Twp.,Sussex,"94 Championship Place Augusta, NJ 07822",Stadium,433616.2510840098,835481.6351465808
Shea Center for Performing Arts,https://www.wpunj.edu/wppresents/visitor-info/shea-center.html,Wayne,Passaic,"300 Pompton Rd. Wayne, NJ 07470",Theater,575634.616238813,770443.549780495
Soccer Coliseum at Teaneck Armory,https://soccercoliseum.com/contact/,Teaneck,Bergen,"1799 Teaneck Rd, Teaneck, NJ 07666",Arena,631261.2626974679,757141.7244790214
Sprague Field,https://montclairathletics.com/facilities/sprague-field/2,Montclair,Essex,"1 Carlisle Rd, Montclair, NJ 07043",Stadium,574460.9612392667,737006.9605261965
Summit Playhouse,https://www.thesummitplayhouse.org/,Summit,Union,"10 New England Avenue Summit, NJ 07901 ",Theater,529473.2915569277,685445.0282802548
The Concert Hall at Drew University,https://drew.edu/about/campus-facilities/concert-hall/,Madison,Morris,"36 Madison Avenue Madison, NJ 07940",Performance Venue,513889.8439711421,702370.2760297576
Wellness and Events Center,https://en.wikipedia.org/wiki/Wellness_and_Events_Center,Newark,Essex,"132 Van Buren St, Newark, NJ 07105",Arena,587121.6335287545,690306.6620584058
Westminster Arts Center at Bloomfield College,https://www.bloomfieldcenter.com/pub/listing/profile/144/arts_amp_entertainment/Westminster+Arts+Center,Bloomfield,Essex,"467 Franklin St. Bloomfield, NJ 07003",Theater,576314.8426657139,714522.8912514389
Writers Theatre of New Jersey,https://www.rosenet.org/1093/Madison-Community-Arts-Center,Madison,Morris,"10 King's Rd, Madison, NJ 07940",Theater,520323.168962296,696410.6050325388
