X,Y,OBJECTID,Name,Address,Demolished,Historic_District,Municipality,MCHSI_ID,Municipal_Code,Site_Number,NR_Listed,County_Determination,NR_Eligibility,GlobalID
555640.6025,519031.9034,572,Zimmerman Manufacturing Co.,17-19 Elm St.,No,No,Freehold Boro.,24,1315,1315-24,No,No,Not Evaluated,cd9f530d-f2cd-413d-b551-7f627f5bdbda
577860.2244,585099.3231,77,Zaccheus Snyder House,277 First St.,No,Yes,Keyport Boro.,13-Jan,1322,1322-1-13,No,No,Not Evaluated,68059c5c-121c-4f6b-83a4-39e07223ee51
624179.0546,479661.2794,809,Worrell House,204 Mercer Ave.,No,No,Spring Lake Boro.,21,1348,1348-21,No,Yes,Not Evaluated,50cb6b9b-9f64-4023-b03e-264d587b0790
622098.9696,517329.3366,1092,Woolley House,703 Deal Rd.,No,No,Ocean Twp.,1,1337,1337-1,No,Possible,Identified,c1780bea-7a63-425e-aef9-e2ef8e82c01f
615919.663,520170.1403,1110,Wooley Farm,1033 West Park Ave.,Yes,No,Ocean Twp.,14,1337,1337-14,No,No,Not Evaluated,29838a1f-a02a-4cc1-8b16-857b92d6bf23
473958.7101,472908.1978,444,Woodward-Ridgeway Farm,86 Hill Rd.,No,Possible,Upper Freehold Twp.,19,1351,1351-19,No,Yes,Not Evaluated,b8489910-4604-4c69-a5cb-2ab5db177c04
610851.8424,517827.5302,1111,Woodlands District School,721 Green Grove Rd.,No,No,Tinton Falls Boro.,2,1336,1336-2,No,No,Not Evaluated,1b7ac389-df71-4c9a-8453-ec5de0ec2a38
554168.1536,518979.2634,597,Woodhull House,63 West Main St.,No,Possible,Freehold Boro.,51,1315,1315-51,No,Yes,Not Evaluated,c4afe496-cd94-4a5c-867f-be2e8bb86f29
617359.5499,470710.1389,765,Women's Club of Manasquan,62 Main St.,No,Yes,Manasquan Boro.,8-Jan,1327,1327-1-8,No,No,Not Evaluated,927ea1ae-8e00-4735-ab83-e5ab9979d7b2
618113.0333,471029.5424,759,Wm. P. Taylor Sawing & Planing Mill,80 Broad St.,No,Yes,Manasquan Boro.,3-Jan,1327,1327-1-3,No,Possible,Not Evaluated,9737fedf-81ab-4c29-a1b0-19d00ec4d7b5
628244.8119,504535.0194,1020,Winsor Building,420 Main St.,No,Yes,Asbury Park Boro.,24,1303,1303-24,Yes,Yes,Listed,5025d28a-265b-4931-b408-6845c042b0cf
636035.1038,529187.1423,1242,Windmill Restaurant,586 Ocean Blvd.,No,No,Long Branch City,59,1325,1325-59,No,No,Not Evaluated,5cab4d5e-9fa4-498a-88c1-41bdddd1a4ec
