Source,Type,MemberOrganizations,Address1,Address2,City,State,ZIP,Phone,Website,Email,full_address,Latitude,Longitude
Curated using Google,Historical Society,Lower Township Historical Society,513 Hughes St,NA,Cape May,NJ,08204,NA,NA,NA,"513 Hughes St, Cape May, NJ, 08204",38.9320932,-74.9217099
Curated using Google,Bookstore,Cape Atlantic Book Company,421 Washington Street,NA,Cape May,NJ,08204,NA,NA,NA,"421 Washington Street, Cape May, NJ, 08204",38.9326249,-74.9231962
League of Historical Societies of NJ,Historical Society,Greater Cape May Historical Society,653 � Washington Street,P.O. Box 495,Cape May,NJ,08204,609-884-9100,capemayhistory.org,NA,653 1/2 Washington Street,38.9342336,-74.9205656
Curated using Google,Museum,NJ Museum of Boating,100 Sunset Blvd,NA,Cape May,NJ,08204,NA,NA,NA,"100 Sunset Blvd, Cape May, NJ, 08204",38.935622,-74.9325055
Curated using Google,Historical Society,Mid-Atlantic Center for the Arts & Humanities,1048 Washington St,NA,Cape May,NJ,08204,NA,NA,NA,"1048 Washington St, Cape May, NJ, 08204",38.9400332,-74.9155207
Stockton SJCHC Historical Cultural Sites,Historical Society,Emlen Physick Estate,1048 Washington St.,NA,Cape May,NJ,08204,"(609)884-5404
",https://capemaymac.org/,NA,"1048 Washington St., Cape May, NJ, 8204",38.9400332,-74.9155207
League of Historical Societies of NJ,Cultural Site,Mid-Atlantic Center for the Arts & Humanities,1048 Washington St.,P.O. Box 340,Cape May,NJ,08204,800-275-4278,capemaymac.org,NA,"1048 Washington St., Cape May, NJ, 8204",38.9400332,-74.9155207
Curated using Google,Historical Society,West Cape May Historical Society,732 Broadway,NA,West Cape May,NJ,08204,NA,NA,NA,"732 Broadway, West Cape May, NJ, 08204",38.9416839,-74.9303252
Curated using Google,Marine,Cape May Whale Watcher,1218 Wilson Dr,NA,Cape May,NJ,08204,NA,NA,NA,"1218 Wilson Dr, Cape May, NJ, 08204",38.9498415,-74.910697
League of Historical Societies of NJ,Cultural Site,Borough of Wildwood Crest,6101 Pacific Avenue,NA,Wildwood,NJ,08260,609-729-8043,NA,dcabrera@wildwoodcrest.org,"6101 Pacific Avenue, Wildwood, NJ, 8260",38.976773,-74.83101
League of Historical Societies of NJ,Organization,Preserving the Wildwoods,NA,P.O. Box 2538,Wildwood,NJ,08260,609-886-8577,https://www.preservingthewildwoods.com,NA,"NA, Wildwood, NJ, 8260",38.9841969,-74.8142502
League of Historical Societies of NJ,Organization,Partners in Preservation,NA,P.O. Box 2538,Wildwood,NJ,08260,609-729-4515,wildwoodnjhistory.com,NA,"NA, Wildwood, NJ, 8260",38.9841969,-74.8142502
Stockton SJCHC Historical Societies & Museums,Museum,George F. Boye Historical Museum,3907 Pacific Avenue,NA,Wildwood,NJ,08260,609-523-0277,http://www.funchase.com/Museum.htm,NA,"3907 Pacific Avenue, Wildwood, NJ, 8260",38.9874352,-74.81643
League of Historical Societies of NJ,Historical Society,Wildwood Historical Society,3907 Pacific Avenue,NA,Wildwood,NJ,08260,609-523-0277,wildwoodhistoricalmuseum.com,NA,"3907 Pacific Avenue, Wildwood, NJ, 8260",38.9874352,-74.81643
League of Historical Societies of NJ,Lighthouse,Lighthouse Keepers of New Jersey,397 Corson Lane,NA,Cape May,NJ,08204,609-886-8577,NA,parytell@gmail.com,"397 Corson Lane, Cape May, NJ, 8204",39.0017215,-74.8873165
Stockton SJCHC Historical Cultural Sites,Lighthouse,Hereford Inlet Lighthouse,111 North Central Avenue,NA,North Wildwood,NJ,08260,NA,http://www.herefordlighthouse.org/,NA,"111 North Central Avenue, North Wildwood, NJ, 8260",39.0068063,-74.7915647
League of Historical Societies of NJ,Museum,Stone Harbor Museum,235 93rd Street,NA,Stone Harbor,NJ,08247,609-368-7500,stoneharbormuseum.org,NA,"235 93rd Street, Stone Harbor, NJ, 8247",39.0557372,-74.7578569
League of Historical Societies of NJ,Historical Society,Avalon Historical Society,215 39th Street,NA,Avalon,NJ,08202,609-967-0090,avalonhistoricalsociety.org,NA,"215 39th Street, Avalon, NJ, 8202",39.0906194,-74.7282253
League of Historical Societies of NJ,Cultural Site,Div. of Culture & Heritage Cape May County,4 Moore Road,NA,Cape May Court House,NJ,08210,609-465-1066,cmcculture.net,NA,"4 Moore Road, Cape May Court House, NJ, 8210",39.1000139,-74.804515
Stockton SJCHC Historical Cultural Sites,Lighthouse,East Point Lighthouse,10 Lighthouse Rd,NA,Maurice River,NJ,08349,NA,https://eastpointlight.com/,NA,"10 Lighthouse Rd, Maurice River, NJ, 8349",39.1963905,-75.0257063
Curated using Google,Museum,Dennis Township Museum and History Center,571 Petersburg Rd,NA,Dennisville,NJ,08214,NA,NA,NA,"571 Petersburg Rd, Dennisville, NJ, 08214",39.1966662,-74.8117455
League of Historical Societies of NJ,Cultural Site,Bayshore Center at Bivalve,2800 High Street,NA,Bivalve Port Norris,NJ,08349,856-785-2060,bayshorecenter.org,NA,"2800 High Street, Bivalve Port Norris, NJ, 8349",39.2332323,-75.0336503
Stockton SJCHC Historical Societies & Museums,Museum,Sam Azeez Museum of Woodbine Heritage,610 Washington Avenue,NA,Woodbine,NJ,08270,NA,https://woodbinemuseum.org/,NA,"610 Washington Avenue, Woodbine, NJ, 8270",39.2398161,-74.8174809
Stockton SJCHC Historical Societies & Museums,Museum,Dennis Township Museum and History Center,681 Petersburg Rd,NA,Woodbine,NJ,08270,NA,NA,NA,"681 Petersburg Rd, Woodbine, NJ, 8270",39.2490269,-74.7387292
League of Historical Societies of NJ,Historical Society,Historical Preservation Society of Upper Twp.,NA,P.O. Box 658,Marmora,NJ,08223,609-628-2902,uppertwphistory.org,UpperTwpHistory@yahoo.com,"NA, Marmora, NJ, 8223",39.2667819,-74.644881
League of Historical Societies of NJ,Museum,Ocean City Historical Museum,1735 Simpson Avenue,NA,Ocean City,NJ,08226,609-399-1801,ocnjmuseum.org,NA,"1735 Simpson Avenue, Ocean City, NJ, 8226",39.2713679,-74.5902675
Curated using Google,Gift shop,Sun Rose Words & Music,756 Asbury Avenue,NA,Ocean City,NJ,08226,NA,NA,NA,"756 Asbury Avenue, Ocean City, NJ, 08226",39.2804826,-74.5743269
Curated using Google,Historical Society,Corbin City Historical Society,307 Tuckahoe Rd,NA,Corbin City,NJ,08270,NA,NA,NA,"307 Tuckahoe Rd, Corbin City, NJ, 08270",39.2952023,-74.7522785
League of Historical Societies of NJ,Historical Society,Longport Historical Society,2305 Atlantic Avenue,NA,Longport,NJ,08403,609-823-1115,longporthistoricalsociety.org,lhsinfo2@yahoo.com,"2305 Atlantic Avenue, Longport, NJ, 8403",39.3120878,-74.5277234
Curated using Google,Historical Society,Somers Point Historical Society,745 Shore Rd,NA,Somers Point,NJ,08244,NA,NA,NA,"745 Shore Rd, Somers Point, NJ, 08244",39.3174067,-74.5931965
League of Historical Societies of NJ,Historical Society,Somers Point Historical Society,745 Shore Road,P.O. Box 517,Somers Point,NJ,08244,609-927-2900,somerspointhistory.org,NA,"745 Shore Road, Somers Point, NJ, 8244",39.3174067,-74.5931965
League of Historical Societies of NJ,Historical Society,Atlantic County Historical Society,907 Shore Road,P.O. Box 301,Somers Point,NJ,08244,609-927-5218,atlanticcountyhistoricalsocietynj.org,NA,"907 Shore Road, Somers Point, NJ, 8244",39.3174067,-74.5931965
Stockton SJCHC Historical Cultural Sites,Cultural Site,Lucy the Elephant,9200 Atlantic Ave,NA,Margate City,NJ,08402,NA,http://www.lucytheelephant.org/,NA,"9200 Atlantic Ave, Margate City, NJ, 8402",39.3208361,-74.5116104
League of Historical Societies of NJ,Historical Society,Margate Historical Society,NA,P.O. Box 3001,Margate City,NJ,08402,609-823-6546,margatelibrary.org/index.php/historical-society,gwen@margatelibrary.org,"NA, Margate City, NJ, 8402",39.327894,-74.5034858
Stockton SJCHC Historical Societies & Museums,Historical Society,Linwood Historical Society,16 W Poplar Avenue,NA,Linwood,NJ,08221,NA,http://www.linwoodnj.org/,NA,"16 W Poplar Avenue, Linwood, NJ, 08221",39.350991,-74.5673985
Curated using Google,Museum,Noyes Arts Garage,2200 Fairmount Ave,NA,Atlantic City,NJ,08401,NA,NA,NA,"2200 Fairmount Ave, Atlantic City, NJ, 08401",39.3601489,-74.4404179
Curated using Google,Museum,Atlantic City Historical Museum,Garden Pier,NA,Atlantic City,NJ,08401,NA,NA,NA,"Garden Pier, Atlantic City, NJ, 08401",39.3603983,-74.4153351
League of Historical Societies of NJ,Lighthouse,Absecon Lighthouse,31 South Rhode Island Avenue,NA,Atlantic City,NJ,08401,609-449-1360,abseconlighthouse.org,NA,"31 South Rhode Island Avenue, Atlantic City, NJ, 8401",39.3662273,-74.4143604
